,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
273,Speed of Sound,X&Y,Coldplay,2005-06-07,287906,74,0.514,0.00488,0.898,0.0345,0.0746,-6.765,0.0577,123.067,4
274,♾,Music Of The Spheres,Coldplay,2021-10-15,226140,61,0.576,0.00941,0.896,0.955,0.153,-8.994,0.0412,135.01,4
275,Viva La Vida,Hits & Virals,Various Artists,2023-05-25,242373,3,0.486,0.0954,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
276,Everglow,A Head Full of Dreams,Coldplay,2015-12-04,282693,71,0.534,0.456,0.445,0.0684,0.112,-9.155,0.0292,146.107,4
277,Politik,A Rush of Blood to the Head,Coldplay,2002-08-08,318626,67,0.262,0.0364,0.482,0.000189,0.11,-7.75,0.0294,170.968,4
278,Yellow,Yellow,Coldplay,2000-06-26,266773,56,0.429,0.00239,0.661,0.000121,0.234,-7.227,0.0281,173.372,4
279,🪐,Music Of The Spheres,Coldplay,2021-10-15,53184,62,0.326,0.887,0.322,0.841,0.116,-20.192,0.0337,89.657,4
280,Talk,X&Y,Coldplay,2005-06-07,311291,66,0.415,0.00541,0.554,0.00202,0.155,-10.839,0.0334,120.318,4
281,My Universe,Music Of The Spheres,Coldplay,2021-10-15,226198,84,0.573,0.0114,0.711,0.0,0.328,-6.268,0.0406,105.006,4
282,Biutyful,Biutyful,Coldplay,2022-07-06,192394,66,0.614,0.0168,0.68,0.00056,0.118,-7.84,0.0425,153.937,4
283,Coldplay,Special,Lizzo,2022-07-15,175497,51,0.637,0.133,0.807,3.89e-06,0.249,-5.193,0.0411,156.954,4
284,O,Ghost Stories,Coldplay,2014-05-19,323480,64,0.371,0.911,0.216,0.826,0.0934,-14.727,0.0358,136.998,4
285,Coldplay,Coldplay,Cali Y El Dandee,2021-10-28,183920,50,0.691,0.078,0.81,0.0,0.088,-3.996,0.134,152.084,4
286,Princess of China,Mylo Xyloto,Coldplay,2011-10-24,239215,72,0.42,0.00385,0.69,0.015,0.287,-6.221,0.0347,85.014,4
287,God Put a Smile upon Your Face,A Rush of Blood to the Head,Coldplay,2002-08-08,297306,68,0.611,0.175,0.556,7.14e-05,0.0359,-5.761,0.0288,126.532,4
288,Coldplay,Songs for Other People,David Ryan Harris,2017-06-23,239133,30,0.661,0.139,0.576,0.000118,0.122,-6.264,0.0281,103.013,4
289,In My Place,A Rush of Blood to the Head,Coldplay,2002-08-08,226680,76,0.424,0.0553,0.588,4.95e-06,0.298,-5.455,0.0278,144.636,4
290,Spies,Parachutes,Coldplay,2000-07-10,318773,61,0.309,0.0236,0.673,0.000144,0.0635,-5.524,0.0319,147.599,4
291,Coldplay - Fix You (Remix),Coldplay - Fix You (Remix),PABLO BENDR,2018-12-06,231944,40,0.644,0.12,0.777,0.15,0.0992,-6.641,0.0306,127.994,4
292,Let Somebody Go,Music Of The Spheres,Coldplay,2021-10-15,241595,76,0.592,0.193,0.342,0.00245,0.11,-8.93,0.0339,130.953,4
293,Ink,Ghost Stories,Coldplay,2014-05-19,228373,64,0.688,0.0647,0.705,0.124,0.118,-7.311,0.0323,112.019,4
