Pos,P+,Artist,Points,Apple M,Spotify,iTunes,YouTube,Shazam,Deezer,Top Country,#
159,+17,Yahritza Y Su Esencia,299,31,82,9,142,19,16,Mexico,18
160,+11,Azahriah,298,83,117,0,59,3,36,Hungary,4
161,-9,Young Miko,297,111,147,5,12,20,3,Argentina,21
162,-13,RAF Camora,297,80,155,16,31,2,13,Germany,7
163,+11,Sfera Ebbasta,296,93,163,13,20,6,2,Italy,7
164,+2,B Praak,295,0,21,0,274,0,0,India,34
165,+4,Amitabh Bhattacharya,293,206,70,12,0,4,0,India,17
166,-6,Victony,290,128,24,3,89,32,14,Nigeria,63
167,-11,Stephen Sanchez,290,40,109,33,32,48,27,Australia,56
168,+4,INSTASAMKA,285,100,57,6,60,62,0,Russia,56
169,-22,Veigh,283,133,123,5,17,3,2,Brazil,6
170,-5,Asake,283,225,32,2,4,12,8,Nigeria,38
171,+11,Ana Castela,280,78,101,24,66,8,2,Brazil,7
172,-15,Metallica,279,188,28,47,8,1,7,Germany,60
173,-25,FuQiang Zhang,279,0,0,279,0,0,0,Austria,8
174,+6,Guilherme,277,67,173,2,26,0,9,Brazil,4
175,-34,Ghost,277,192,9,62,5,5,3,Sweden,56
176,+2,Marshmello,275,46,98,55,2,53,21,Spain,50
177,-24,Howard Ashman,275,251,0,24,0,0,0,Thailand,78
178,+31,Don Omar,271,10,188,8,31,29,5,Chile,65
179,-4,Juice WRLD,270,114,144,7,0,2,2,United States,69
180,+13,The Kid LAROI,268,77,115,18,0,3,55,Australia,60
181,+3,ANNA ASTI,268,138,13,31,81,5,0,Russia,14
182,+18,Bailey Zimmerman,267,66,61,41,21,66,11,Canada,59
183,+4,Lazza,267,87,134,20,24,1,2,Italy,3
184,+24,Lost Frequencies,265,81,87,44,1,20,30,Netherlands,47
185,-26,NICKI NICOLE,264,114,121,11,1,14,4,Argentina,19
186,-1,King,264,40,106,8,109,0,0,India,17
187,+5,Mrs. Green Apple,264,75,151,34,0,3,1,Japan,1
188,+6,Frank Ocean,262,136,115,8,0,0,3,Australia,71
189,-3,Miguel,261,127,78,13,25,11,6,United States,66
190,-9,LINKIN PARK,256,25,164,47,4,11,5,Germany,59
191,-33,Jonas Brothers,254,154,52,37,0,11,1,Canada,58
192,-37,Kesha,254,222,0,29,0,0,3,Brazil,86
193,-2,Don Toliver,248,173,52,1,1,21,1,United States,102
194,-15,Kim Petras,245,137,50,32,0,27,0,Australia,71
195,+16,Glass Animals,244,80,111,15,7,4,28,Australia,55
196,+35,Elevation Worship,242,191,0,43,3,5,1,South Africa,54
197,+18,Daniel Caesar,242,142,78,9,5,7,1,Indonesia,48
198,-8,Jay Chou,241,10,155,65,0,11,0,Hong Kong,6
199,-11,Toosii,241,94,22,27,79,18,1,United States,42
200,+1,Ruger,239,128,11,5,64,21,10,Nigeria,38
201,-,Calin,235,75,116,2,40,2,0,Czech Republic,2
202,+,Mahalini,235,67,119,11,32,3,3,Indonesia,5
203,=,Zach Bryan,234,63,89,33,19,3,26,United States,13
204,+,Purple Disco Machine,233,25,50,87,18,47,7,Germany,27
205,-,J Balvin,233,104,112,5,2,6,4,Colombia,35
206,+,Grupo Firme,232,43,66,9,93,5,17,Mexico,12
207,+,VAUNDY,231,73,120,14,23,2,0,Japan,1
208,-,Tea Tairovi?,231,0,0,0,231,0,0,Serbia,8
209,-,Sleep Token,230,181,0,39,0,0,10,Australia,60
210,-,Pop Smoke,230,59,163,7,0,0,0,Canada,60
211,+,070 Shake,222,121,39,25,0,35,1,Australia,62
212,+,BM,221,26,107,0,67,9,11,Argentina,7
213,-,Mabel Matiz,219,59,84,24,41,7,4,Turkey,5
214,-,Nile Rodgers,219,86,27,70,28,7,1,Japan,67
215,+,Alan Walker,217,21,75,52,42,23,5,Indonesia,45
216,-,Kylie Minogue,217,27,0,168,4,1,18,United Kingdom,40
217,+,Maroon 5,216,29,105,37,41,0,4,Philippines,66
218,+,Kizz Daniel,215,104,16,6,54,27,9,Nigeria,31
219,+,Israel,215,46,102,9,50,1,7,Brazil,7
220,+,Skryptonite,215,160,49,5,0,0,0,Kazakhstan,15
221,-,Becky G,215,28,109,4,57,0,16,Mexico,23
222,NEW,Jah Prayzah,214,120,1,4,89,0,0,Zimbabwe,12
223,+,Rodolffo,214,46,102,8,50,1,7,Brazil,4
224,+,Mahmoud Al Turky,211,25,0,1,162,22,0,Oman,31
225,+,Hov1,208,13,188,0,5,2,0,Sweden,2
226,-,Tea Tairovic,207,157,2,0,0,1,47,Serbia,12
227,-,Viktor Sheen,207,83,110,2,10,2,1,Czech Republic,2
228,=,Calum Scott,207,91,39,48,0,27,2,United Kingdom,46
229,-,Cris Mj,206,17,117,0,62,1,10,Chile,17
230,-,Katy Perry,206,15,185,2,0,1,3,Australia,43
231,-,Lil Mabu,206,8,85,1,101,7,3,United States,29
232,+,Eslabón Armado,205,0,0,0,205,0,0,Mexico,21
233,-,reezy,205,85,114,0,3,0,3,Germany,7
234,+,Marco Mengoni,203,44,66,50,33,4,7,Italy,23
235,-,Dj Belite,203,85,0,70,45,0,3,Russia,50
236,-,MC Cabelinho,203,80,83,0,34,5,1,Brazil,6
237,+,Florence + the Machine,203,55,39,51,9,48,2,United Kingdom,57
238,-,NF,202,136,50,7,0,4,5,Canada,65
239,-,Kali,202,61,61,3,29,41,8,United States,56
240,+,The Neighbourhood,201,22,166,0,0,5,8,Poland,46
241,+,ABBA,201,108,40,40,10,2,1,Netherlands,50
242,+,Dermot Kennedy,200,35,14,63,7,79,3,Ireland,59
243,-,No Limit,200,83,48,4,41,9,16,France,21
244,=,Shiva,200,46,109,2,41,1,1,Italy,1
245,-,PLK,199,76,89,0,23,2,9,France,7
246,-,Supernova Ent,197,130,60,5,0,3,0,Brazil,6
247,+,Tate McRae,197,116,23,27,0,14,17,Australia,44
248,-,KayBlack,196,65,100,0,24,6,2,Brazil,6
249,-,Daddy Yankee,195,33,108,38,3,12,2,Chile,39
250,+,Veronica Maggio,194,14,178,1,0,1,0,Sweden,2
251,-,Chencho Corleone,194,82,101,0,8,2,0,Chile,24
252,NEW,Prabhas,194,0,0,0,194,0,0,India,21
253,NEW,Michael Jackson,193,69,16,78,21,4,4,Netherlands,104
254,-,Doja Cat,192,43,122,9,0,1,17,United States,64
255,+,Baby Lullaby Academy,192,176,0,0,0,0,15,Thailand,41
256,-,MONA,191,122,2,32,13,23,0,Russia,19
257,+,sanah,189,24,111,3,44,2,6,Poland,1
258,NEW,Jack Black,189,0,6,23,160,0,0,United States,36
259,+,Nicki Minaj,189,100,18,23,12,16,20,United States,76
260,-,back number,189,57,125,5,0,0,2,Japan,1
261,+,Sezen Aksu,188,41,97,18,24,8,0,Turkey,8
262,+,50 Cent,187,60,111,7,8,1,0,Canada,54
263,-,Luciano,186,70,101,3,9,2,2,Germany,10
264,+,Henrique & Juliano,186,27,121,1,30,0,6,Brazil,1
265,-,OFFICIAL HIGE DANDISM,185,0,134,20,27,3,2,Japan,1
266,NEW,Marília Mendonça,185,68,80,8,24,1,5,Brazil,4
267,-,Sidhu Moose Wala,184,63,93,23,5,0,0,India,5
268,-,Separ,183,69,94,0,9,0,11,Slovakia,2
269,+,kizaru,181,102,55,6,1,15,1,Russia,19
270,-,Zola,181,73,90,0,9,0,9,France,13
271,+,James Arthur,181,13,117,28,7,13,2,Indonesia,47
272,+,Spyro,181,42,4,2,103,23,7,Namibia,31
273,-,Djadja,181,68,74,2,32,1,4,France,8
274,-,Dinaz,181,68,74,2,32,1,4,France,8
275,NEW,Pinguini Tattici Nucleari,180,46,85,31,14,2,1,Italy,3
276,-,Rammstein,180,93,62,18,3,0,4,Germany,30
277,-,Miranda!,180,25,91,0,55,4,5,Argentina,14
278,NEW,Blanka,179,28,51,29,56,4,11,Poland,23
279,-,La Joaqui,179,41,86,0,36,8,8,Argentina,6
280,+,2Pac,178,15,13,2,14,133,1,Worldwide,78
281,-,UZI,176,51,112,0,12,0,1,Turkey,5
282,-,Milo j,175,28,122,3,8,12,2,Argentina,19
283,-,Kungs,174,22,25,81,0,45,1,Germany,27
284,-,Noa Kirel,173,55,70,17,17,2,12,Israel,28
285,-,Zara Larsson,173,36,53,47,4,20,12,Sweden,30
286,-,Murumba Pitch,172,117,18,17,5,14,0,South Africa,14
287,NEW,Christian Nodal,172,20,111,13,11,9,7,Mexico,15
288,-,Tempoe,171,127,10,2,0,32,0,Nigeria,52
289,+,Jairo Vera,170,16,91,0,59,3,1,Chile,1
290,+,Sebastian Yatra,170,0,158,0,0,0,12,Spain,19
291,+,Heuss L'enfoiré,169,8,38,0,98,25,1,France,35
292,NEW,Depeche Mode,169,89,0,59,14,4,3,Belgium,44
293,NEW,Yuuri,168,12,127,8,21,1,0,Japan,6
294,-,Taiu,168,18,93,0,41,10,6,Spain,19
295,-,Pink Floyd,167,123,0,43,0,0,0,Italy,56
296,NEW,Melanie Martinez,167,129,37,1,0,0,0,United States,61
297,-,HoodBlaq,167,66,71,0,24,3,4,Germany,6
298,-,Fireboy DML,167,100,15,5,27,9,10,Nigeria,37
299,-,Emilia,166,31,89,2,27,13,4,Argentina,9
300,-,Suspect 95,166,96,0,17,17,6,29,Côte d'Ivoire,11
