created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Apr 10 11:33:46 +0000 2022;1513118035921412098;"Menunggu sabda om @CoachJustinL (Justinus Lhaksana) sang pioneer, pembuat pondasi, figur yg buat futsal jadi tren di Indonesia pada 2000an awal. Karena itu, SMP &amp  SMA di Indonesia banyak bentuk ekskul Futsal saat itu hingga berkembang sampai sekarang  TIMNAS FUTSAL JUARA! https://t.co/og8ZD2QX4I";76;63;589;2803;in;843588648;1513118035921412098;_vino_alvino;https://twitter.com/_vino_alvino/status/1513118035921412098
Fri Apr 08 09:35:51 +0000 2022;1512363585053224961;"11 Maret 2022, Mohammad Hashemzadeh Ditunjuk sebagai Pelatih Futsal Timnas Indonesia.  8 April 2022, Membawa Timnas Indonesia ke Final AFF Futsal 2022 dan Babak Utama AFC Futsal Championship 2022.  Apresiasi Tinggi untuk Coach Mohammad Hashemzadeh!🇮🇩🔥 https://t.co/wKsKAo7stX";69;179;785;5086;in;1316071146;1512363585053224961;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1512363585053224961
Tue Mar 08 04:22:46 +0000 2022;1501050771634556932;"Tahun depan, Timnas Sepakbola Indonesia mending kayak begitu.  Pas pelaksanaan Piala Dunia Qatar 2022, berangkat saja ke Qatar. Terus ikut pertandingan persahabatan lawan Kelurahan apa kek di Qatar sana.   Nanti tinggal bilang, Timnas ikutan Piala Dunia Qatar 2022.";696;643;7037;28661;in;102215394;1501050771634556932;Arie_Kriting;https://twitter.com/Arie_Kriting/status/1501050771634556932
Fri Feb 04 10:47:19 +0000 2022;1489551132406214658;"🚨 BREAKING: Klub Serie A, Lazio dikabarkan sedang memantau situasi bek kiri andalan Timnas Indonesia dan PSIS, Pratama Arhan (20). 👏🏻🥶  (via @laziopress) https://t.co/E7zLkUxNRK";422;566;797;6349;in;1222927522033094656;1489551132406214658;idextratime;https://twitter.com/idextratime/status/1489551132406214658
Wed Feb 02 05:31:40 +0000 2022;1488746922672152578;"Timnas Indonesia di rangking FIFA 🇮🇩  September 2021 : Rangking 175 Februari 2022 : Rangking 160   Percaya proses yang ada progres.. 👌 https://t.co/VYIP5Ddsv6";44;152;741;6535;in;1222927522033094656;1488746922672152578;idextratime;https://twitter.com/idextratime/status/1488746922672152578
Sun Jan 16 22:23:18 +0000 2022;1482840913315758081;"Disamakan Pelatih Gagal di Timnas Indonesia, STY Tersinggung https://t.co/3vocbKmjnb";631;916;937;6628;in;17128975;1482840913315758081;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1482840913315758081
Thu Jan 13 03:31:25 +0000 2022;1481468902672834563;"🚨 BREAKING: Legenda Timnas Indonesia, Kurniawan Dwi Yulianto dikabarkan telah ditunjuk sebagai asisten pelatih untuk klub Serie B, Como 1907! 😍🇮🇹 https://t.co/q0aikKMhqJ";53;96;336;3119;in;1222927522033094656;1481468902672834563;idextratime;https://twitter.com/idextratime/status/1481468902672834563
Sat Jan 08 11:57:39 +0000 2022;1479784359653609472;"Tembus Eropa!  Pemain Timnas Indonesia Wanita, Shalika Aurelia resmi bergabung dengan Roma Calcio Femminile, klub Serie B Woman.  Shalika juga tergabung dengan timnas yang akan melakoni Piala Asia Wanita 2022 mulai 21 Januari mendatang. https://t.co/TVR2XkqwMW";130;111;1121;3907;in;947281567;1479784359653609472;panditfootball;https://twitter.com/panditfootball/status/1479784359653609472
Sat Jan 08 10:43:03 +0000 2022;1479765586930384896;"Kuch STY mengaku ia juga sempat mempelajari agama Islam sejak menangani timnas Indonesia.  Hal itu ia lakukan agar program latihan yang ia susun tak sampai mengganggu waktu beribadah para pemain dan staf pelatih. https://t.co/fh79Vdri9a";360;314;1465;11083;in;1222927522033094656;1479765586930384896;idextratime;https://twitter.com/idextratime/status/1479765586930384896
Mon Jan 03 23:23:27 +0000 2022;1478145009702424577;"Timnas Indonesia Diharap Berprestasi, STY Tuntut Liga 1 Berbenah https://t.co/QofwJyXATM";235;265;815;5132;in;17128975;1478145009702424577;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1478145009702424577
