,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
66,57JYZ4Qg3JifF1WJBI4rne,To the Bone,To the Bone,Raim Laode,2021-04-15,42399,50,0.493,0.882,0.0608,0.0,0.116,-23.018,0.0469,133.63,4
67,6ZQPzLtBSBpad3I4e12gKZ,Ray Laid Low,The Princess and the Frog (Original Motion Picture Soundtrack),Various Artists,2009-11-23,201880,31,0.158,0.913,0.143,0.0719,0.151,-17.068,0.0389,74.631,4
68,7b2IlFlKrmZ6ypvjUQmiUl,Suasana Rumah - Acoustic Version,Suasana Rumah (Acoustic Version),Raim Laode,2022-07-31,244326,48,0.577,0.864,0.22,0.000987,0.109,-14.332,0.033,129.77,4
69,1yH1aRNG6SwZXE9RsN0qRy,Eu quero ver o oco,Lavô Tá Novo,Raimundos,1995-10-03,251400,57,0.669,0.00231,0.96,0.0,0.104,-6.432,0.0606,121.27,4
70,37fYk1rQzNg2R3OkJjdEEC,Salah - Acoustic Version,Suasana Rumah (Acoustic Version),Raim Laode,2022-07-31,260872,49,0.537,0.562,0.358,1.58e-06,0.218,-7.137,0.0267,82.832,4
71,3hBHyw7lOycM5bK8tfUlHY,愛不疚,Heart Attack LF Live in HK,Raymond Lam,2016-07-29,237373,30,0.458,0.369,0.556,6.61e-06,0.608,-10.052,0.0377,139.993,5
72,1NZzVGmFUuu8a6RLmMwBAB,DJ Komang - Raim Laode FYP TIKTOK VIRAL 2023 INS,DJ Komang - Raim Laode FYP TIKTOK VIRAL 2023 INS,DJ ENGKOL,2023-02-22,364620,18,0.672,0.00051,0.989,0.867,0.0886,-4.408,0.0398,144.983,4
73,0dkFoGVdv1tXvARyTcUAX9,記得忘記,Heart Attack LF Live in HK,Raymond Lam,2016-07-29,225626,35,0.548,0.294,0.542,0.00116,0.846,-11.809,0.0293,139.969,4
74,5tAai0JOpeDsov37T2FGt1,Komang - RAIM LAODE REMIX,Komang - RAIM LAODE REMIX,DJ Hengky,2023-02-21,266616,33,0.64,0.00156,0.618,0.0296,0.18,-11.802,0.0321,135.073,4
75,1TcsJ21R8PMmpLcj34A02E,幼稚未完,幼稚未完,Raymond Lam,2022-02-14,246000,47,0.493,0.377,0.638,0.0,0.099,-7.004,0.0368,140.064,4
76,2FUgt4Uy2omaak28vJtilJ,KOMANG Raim Laode - feat. Anda Beatloop X Bima Stunt,KOMANG Raim Laode (feat. Anda Beatloop X Bima Stunt),Dj Zahra,2023-03-03,168840,5,0.62,0.00187,0.892,5.22e-06,0.274,-3.297,0.0529,145.066,4
77,349flwjNbqIaE0Mph3jLGD,A mais pedida (Participação especial de Érika Martins),So No Forevis,Raimundos,1999,233733,60,0.539,0.0105,0.825,1.43e-05,0.0693,-4.021,0.0479,125.06,4
78,1bpNl1fmFziKRFQb5I5nF5,DJ SEBAB KAU TERLALU INDAH DARI SEKEDAR KATA - KOMANG RAIM LAODE,DJ SEBAB KAU TERLALU INDAH DARI SEKEDAR KATA - KOMANG RAIM LAODE,DJ MANIKCI REMIX,2023-02-17,233195,48,0.775,0.0251,0.554,0.0464,0.307,-8.648,0.0335,120.023,4
79,5lTk5aCj3ZTTgocAKSREoa,Rain,Rain,Lapsi,2022-09-16,119032,41,0.629,0.0189,0.454,0.887,0.349,-12.837,0.0262,107.01,4
80,2ErcueEkqjsiTVI0wpOyLy,"心呼吸 - (劇集 ""天涯俠醫"" 主題曲)","心呼吸 (劇集 ""天涯俠醫"" 主題曲)",Raymond Lam,2004-11-15,233600,38,0.512,0.793,0.365,2.12e-05,0.109,-11.3,0.0298,78.001,4
81,60srgSleTiLRoQivMhoUVj,Dj Raim Laode,Dj Raim Laode,hadi wibowo,2023-03-08,108686,0,0.321,0.846,0.326,0.809,0.116,-12.897,0.0336,88.712,4
82,5p0zm0QtFOS3iaKST5GauU,所謂理想,Come 2 Me,Raymond Lam,2010-04-09,206053,30,0.526,0.141,0.501,0.0,0.0846,-9.732,0.0302,140.053,4
83,6fNPN4387PNAbiWJ27l3ML,Komang - Raim Laode,Komang - Raim Laode,Kata Yopi,2023-05-13,220610,0,0.646,0.843,0.334,5.98e-05,0.142,-10.21,0.0317,133.983,4
84,5WgnqMS5UHZqnHoJ4XrrjH,I Saw You Saying - That You Say That You Saw,Lavô Tá Novo,Raimundos,1995-10-03,204240,55,0.573,0.00727,0.73,2.97e-06,0.111,-6.74,0.0307,115.133,4
